Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Incident Zip,Status
27192809,01/19/2014 12:00:00 AM,02/18/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,11216,Closed
27083008,01/07/2014 02:08:00 PM,01/07/2014 05:15:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11433,Closed
27058999,01/05/2014 03:56:27 PM,01/05/2014 10:02:22 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,11423,Closed
27081161,01/07/2014 12:00:00 AM,01/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10457,Closed
27176980,01/17/2014 12:00:00 AM,01/23/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10040,Closed
27175017,01/17/2014 12:00:00 AM,02/20/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,10463,Closed
27268336,01/27/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10009,Closed
27207316,01/21/2014 12:00:00 AM,01/22/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10453,Closed
27108216,01/09/2014 12:00:00 AM,01/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10468,Closed
27257814,01/24/2014 12:00:00 AM,02/18/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,11220,Closed
27183315,01/17/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,11691,Open
27189422,01/19/2014 11:30:00 AM,01/19/2014 11:40:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11224,Closed
27295114,01/30/2014 12:00:00 AM,02/18/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11221,Closed
27185650,01/18/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,11427,Closed
27112467,01/09/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,11233,Closed
27248691,01/26/2014 09:22:39 AM,01/26/2014 10:45:32 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,10314,Closed
27265466,01/27/2014 12:00:00 AM,01/29/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11207,Closed
27055969,01/04/2014 11:18:11 AM,03/03/2014 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11419,Closed
27152067,01/15/2014 04:45:00 PM,01/15/2014 06:00:00 PM,DEP,Department of Environmental Protection,Hazardous Materials,Chemical Odor (HD1),10452,Closed
27223020,01/22/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10031,Closed
27030475,01/02/2014 12:00:00 AM,01/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10029,Closed
27124571,01/11/2014 12:00:00 AM,01/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10465,Closed
27192273,01/19/2014 12:00:00 AM,01/23/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,11238,Closed
27190631,01/19/2014 12:00:00 AM,01/22/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11415,Closed
27022319,01/01/2014 02:51:57 AM,01/01/2014 10:43:48 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,11421,Closed
27082177,01/07/2014 12:00:00 AM,01/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11385,Closed
27186971,01/18/2014 04:24:57 PM,,DOB,Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,10473,Open
27153089,01/15/2014 12:00:00 PM,01/16/2014 04:20:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11435,Closed
27283699,01/29/2014 12:00:00 AM,02/05/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10031,Closed
27171786,01/17/2014 10:09:45 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,10005,Open
27251966,01/24/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10034,Open
27273306,01/28/2014 11:04:03 AM,01/28/2014 01:56:29 PM,DPR,Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,11234,Closed
27151144,01/14/2014 07:01:11 PM,01/24/2014 09:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,10456,Closed
27178785,01/17/2014 04:16:12 PM,02/05/2014 04:23:49 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Sidewalk Blocked,10010,Closed
27232373,01/23/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11216,Closed
27155519,01/15/2014 08:38:54 AM,02/21/2014 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11208,Closed
27293408,01/30/2014 07:15:00 AM,01/31/2014 12:00:00 PM,DSNY,BCC - Queens East,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,11422,Closed
27197235,01/20/2014 06:56:00 PM,01/24/2014 12:00:00 PM,DSNY,Brooklyn North 03,Missed Collection (All Materials),1C Uncollected Xmas Trees,11233,Closed
27150323,01/15/2014 12:00:00 AM,01/18/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,11236,Closed
27088246,01/07/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,11220,Closed
27259750,01/26/2014 12:00:00 AM,01/29/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11215,Closed
27190641,01/19/2014 12:00:00 AM,02/05/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CERAMIC-TILE,11238,Closed
27051100,01/04/2014 02:08:00 PM,01/04/2014 02:08:00 PM,DSNY,BCC - Brooklyn South,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,11210,Closed
27030508,01/02/2014 12:00:00 AM,01/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10467,Closed
27134670,01/13/2014 12:00:00 AM,02/21/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10030,Closed
27223165,01/20/2014 10:10:21 AM,01/22/2014 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,10023,Closed
27260434,01/24/2014 12:00:00 AM,02/18/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10025,Closed
27083323,01/08/2014 01:02:52 AM,01/13/2014 11:13:37 AM,DOT,Department of Transportation,Broken Muni Meter,Out of Order,11372,Closed
27088902,01/07/2014 12:00:00 AM,01/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11226,Closed
27256286,01/24/2014 12:00:00 AM,03/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10026,Closed
27151211,01/15/2014 06:44:00 PM,01/15/2014 06:44:00 PM,DSNY,Bronx 04,Derelict Vehicles,14 Derelict Vehicles,10451,Pending
27289617,01/29/2014 10:14:20 AM,01/29/2014 01:15:14 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11204,Closed
27300772,01/30/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11226,Closed
27227847,01/23/2014 02:52:26 PM,01/23/2014 03:02:09 PM,NYPD,New York City Police Department,Illegal Parking,Detached Trailer,11430,Closed
27127418,01/11/2014 12:00:00 AM,01/15/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,10033,Closed
27124511,01/11/2014 01:47:00 PM,01/14/2014 10:30:00 PM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),10461,Closed
27139069,01/13/2014 07:52:00 PM,01/13/2014 07:52:00 PM,DSNY,Queens West 04,Derelict Vehicles,14 Derelict Vehicles,11368,Pending
27264219,01/28/2014 12:32:00 AM,01/28/2014 11:12:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,11385,Closed
27284934,01/29/2014 12:00:00 AM,01/31/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11226,Closed
27254443,01/26/2014 12:00:00 AM,01/29/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11220,Closed
27296241,01/30/2014 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11216,Closed
27224384,01/22/2014 12:00:00 AM,01/25/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11225,Closed
27108784,01/09/2014 01:14:35 PM,01/09/2014 03:20:36 PM,NYPD,New York City Police Department,Vending,In Prohibited Area,11223,Closed
27088244,01/07/2014 01:49:12 PM,01/28/2014 04:26:24 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,11221,Closed
27032644,01/02/2014 07:06:41 AM,01/02/2014 08:08:59 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,11370,Closed
27274138,01/28/2014 04:18:00 PM,01/28/2014 04:18:00 PM,DSNY,BCC - Brooklyn South,Derelict Vehicles,14 Derelict Vehicles,11236,Pending
27153936,01/15/2014 01:28:00 PM,01/15/2014 01:28:00 PM,DOT,Department of Transportation,Street Light Condition,Lamppost Base Door/Cover Open,11222,Closed
27306568,01/31/2014 12:00:00 AM,03/05/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,10453,Closed
27077401,01/07/2014 12:00:00 AM,01/12/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11226,Closed
27051555,01/04/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11691,Closed
27159580,01/17/2014 01:52:47 AM,01/17/2014 02:58:41 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,10027,Closed
27274844,01/28/2014 02:34:45 PM,03/30/2014 06:10:41 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Odor,10453,Closed
27076004,01/06/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,11234,Closed
27287151,01/29/2014 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11368,Closed
27025177,01/01/2014 04:59:37 PM,01/02/2014 12:00:00 AM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Privately Owned Public Space/Non-Compliance,11419,Closed
27190997,01/19/2014 01:16:58 PM,06/09/2014 05:08:48 PM,DOT,Department of Transportation,Street Sign - Damaged,Street Cleaning - ASP,11238,Closed
27178384,01/17/2014 04:25:35 PM,,DOB,Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,11235,Open
27274345,01/28/2014 12:00:00 AM,02/09/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11203,Closed
27275665,01/28/2014 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10466,Closed
27074987,01/06/2014 12:00:00 AM,01/14/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,10473,Closed
27044055,01/03/2014 09:12:00 PM,01/03/2014 09:12:00 PM,DSNY,BCC - Queens East,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,11367,Closed
27245194,01/25/2014 12:00:00 AM,01/29/2014 03:46:39 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,10457,Closed
27227816,01/22/2014 12:00:00 AM,01/25/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11215,Closed
27205371,01/21/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,10457,Closed
27128672,01/11/2014 08:33:00 PM,01/11/2014 10:05:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Controller,11106,Closed
27227835,01/22/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11372,Open
27291751,01/29/2014 12:00:00 AM,01/31/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,RUBBISH,11213,Closed
27188559,01/18/2014 11:27:00 AM,01/18/2014 12:00:00 PM,DSNY,BCC - Brooklyn North,Missed Collection (All Materials),2 Bulk-Missed Collection,11238,Closed
27121613,01/10/2014 12:00:00 AM,01/14/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,11203,Closed
27027361,01/01/2014 04:40:12 PM,01/03/2014 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,11419,Closed
27292239,01/30/2014 07:30:00 PM,03/05/2014 12:00:00 PM,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11692,Closed
27219581,01/22/2014 10:51:00 AM,01/23/2014 12:00:00 PM,DSNY,A - Brooklyn,Snow,E9 Snow / Icy Sidewalk,11204,Closed
27204390,01/21/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,11214,Closed
27130492,01/12/2014 12:00:00 AM,03/12/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,11225,Closed
27262319,01/27/2014 12:00:00 AM,02/04/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10065,Closed
27275682,01/28/2014 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11372,Closed
27143838,01/15/2014 12:58:48 AM,01/15/2014 02:13:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,11220,Closed
27277236,01/27/2014 09:04:04 AM,,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11417,Open
27157484,01/15/2014 12:00:00 AM,01/21/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CABINETS,11691,Closed
27273792,01/28/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10463,Closed
27268680,01/27/2014 12:00:00 AM,02/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,11216,Closed
27107721,01/09/2014 12:00:00 AM,01/12/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10467,Closed
27128270,01/11/2014 12:00:00 AM,01/23/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,RUBBISH,10467,Closed
27111496,01/09/2014 12:00:00 AM,02/04/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,11105,Closed
27088673,01/07/2014 12:00:00 AM,01/10/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11216,Closed
27071694,01/06/2014 12:00:00 AM,02/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,11435,Closed
27025090,01/01/2014 12:00:00 AM,01/08/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,11203,Closed
27237467,01/23/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10468,Closed
27285469,01/29/2014 09:39:00 AM,01/30/2014 12:00:00 PM,DSNY,BCC - Brooklyn South,Missed Collection (All Materials),1R Missed Recycling-All Materials,11214,Closed
27152432,01/15/2014 02:38:00 PM,01/16/2014 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3A Dirty Area/Alleyway,11201,Closed
27171781,01/17/2014 10:12:52 AM,01/31/2014 09:46:20 AM,DOT,Department of Transportation,Broken Muni Meter,Out of Order,11218,Closed
27072354,01/06/2014 03:26:00 PM,01/11/2014 12:00:00 PM,DSNY,BCC - Brooklyn South,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11204,Closed
27215956,01/21/2014 12:00:00 AM,01/22/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11355,Closed
27196005,01/20/2014 02:47:39 PM,01/22/2014 12:00:00 AM,DOB,Department of Buildings,Investigations and Discipline (IAD),Investigative Inspection,10022,Closed
27159683,01/16/2014 12:00:00 AM,01/30/2014 10:46:40 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,10451,Closed
27073135,01/06/2014 12:00:00 AM,01/09/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10462,Closed
27126008,01/11/2014 05:35:00 PM,01/13/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3A Dirty Area/Alleyway,10469,Closed
27260987,01/26/2014 12:00:00 AM,02/01/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11206,Closed
27291678,01/29/2014 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11209,Closed
27230958,01/23/2014 09:21:33 AM,01/24/2014 08:45:00 AM,DOT,Department of Transportation,Street Condition,Pothole,11433,Closed
