Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Incident Zip,Status
27227581,01/22/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10458,Closed
27076618,01/07/2014 10:11:00 AM,01/07/2014 10:22:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),10462,Closed
27101219,01/08/2014 12:00:00 AM,01/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10472,Closed
27116789,01/10/2014 11:28:00 AM,01/11/2014 12:00:00 PM,DSNY,Bronx 10,Missed Collection (All Materials),1 Missed Collection,10465,Closed
27116029,01/10/2014 12:00:00 AM,01/16/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10303,Closed
27304029,01/31/2014 12:00:00 AM,02/08/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,11432,Closed
27262227,01/27/2014 12:00:03 PM,03/04/2014 12:00:00 AM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,10018,Closed
27108809,01/09/2014 02:11:00 PM,01/11/2014 12:00:00 PM,DSNY,BCC - Queens West,Missed Collection (All Materials),1RG Missed Recycling Paper,11378,Closed
27285542,01/29/2014 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10451,Closed
27187609,01/18/2014 10:11:10 AM,01/18/2014 10:53:28 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,11220,Closed
27287565,01/29/2014 12:00:00 AM,02/05/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,11238,Closed
27118032,01/10/2014 04:26:00 PM,01/17/2014 12:00:00 PM,DSNY,BCC - Brooklyn North,Missed Collection (All Materials),1R Missed Recycling-All Materials,11208,Closed
27221646,01/22/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10031,Closed
27095036,01/08/2014 12:00:00 AM,01/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11228,Closed
27153829,01/15/2014 12:00:00 AM,01/16/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10462,Closed
27055744,01/04/2014 08:01:53 PM,01/08/2014 08:36:21 AM,DOT,Department of Transportation,Bus Stop Shelter Placement,New Bus Stop Shelter Placement,11216,Closed
27089592,01/07/2014 07:00:33 PM,01/08/2014 09:30:00 AM,DOT,Department of Transportation,Street Condition,Pothole,10033,Closed
27264141,01/24/2014 12:28:23 PM,,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,10456,Open
27242657,01/24/2014 09:10:00 PM,03/17/2014 07:24:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Private Carting Noise (NQ1),10005,Closed
27072606,01/06/2014 08:18:37 AM,01/06/2014 05:56:36 PM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11234,Closed
27150602,01/15/2014 12:00:00 AM,02/09/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10462,Closed
27157670,01/15/2014 07:16:00 AM,01/16/2014 08:05:00 AM,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),11221,Closed
27193942,01/20/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11223,Closed
27227617,01/22/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11422,Closed
27138834,01/13/2014 10:20:28 PM,01/13/2014 11:18:03 PM,NYPD,New York City Police Department,Animal Abuse,Neglected,10301,Closed
27086943,01/07/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10453,Closed
27132093,01/12/2014 12:00:00 AM,01/19/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10467,Closed
27257785,01/26/2014 12:00:00 AM,02/01/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,11373,Closed
